NO,약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영
101,엘림온누리약국,02-2212-4805,"서울특별시 관악구 난곡로 316, 1층 (신림동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~16:00,-,-
102,나라약국,02-6949-3332,"서울특별시 용산구 청파로47길 7, 102호 (청파동3가)",08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~20:00,08:30~17:00,-,-
103,세븐약국,02-2088-4850,"서울특별시 강서구 마곡동로 61, 에이스프라자 403호 (마곡동)",07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,07:30~20:30,09:00~13:30,-,-
104,수약국,02-701-8224,"서울특별시 용산구 백범로51길 6, 지하1층 (효창동)",08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~18:30,08:00~15:30,-,08:00~12:30
105,중앙약국,02-921-1622,"서울특별시 동대문구 왕산로 20, 1층 (신설동)",09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~19:30,09:00~15:30,-,-
106,하늘약국,02-2214-5180,서울특별시 동대문구 전농로 91 (답십리동),09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~18:30,09:00~14:30,-,-
107,바른굿모닝약국,02-2636-8123,"서울특별시 구로구 경인로67길 23, 101동 302호 (신도림동, 신도림2차푸르지오)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
108,호두약국,02-522-5958,"서울특별시 서초구 남부순환로 2449, 삼원빌딩 1층 (서초동)",08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~18:00,08:30~14:00,-,-
109,미소약국,02-2065-7737,"서울특별시 양천구 곰달래로5길 17, 신월프라자 1층 (신월동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,09:00~18:00,09:00~18:00
110,미소산약국,02-508-0918,"서울특별시 강남구 테헤란로 503, 하이브로빌딩 2층 일부호 (삼성동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~13:30,-,-
111,메디팜상암약국,02-3291-5879,"서울특별시 마포구 상암산로1길 73, 월드프라자 103호 (상암동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~14:00,-,-
112,소원약국,02-2608-3533,"서울특별시 강서구 강서로 173, 터보빌딩 2층 일부호 (화곡동)",08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~19:00,08:30~14:00,-,-
113,우리동네약국,070-7808-1191,"서울특별시 광진구 뚝섬로 533, 1층 (자양동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~15:00,-,-
114,바른약국,02-853-2675,"서울특별시 금천구 시흥대로153길 99, 신평대일타운 106호 (가산동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~18:30,-,-
115,바른약국,02-3664-3215,"서울특별시 강서구 양천로 556, 강서메디칼센터 103호 (등촌동)",08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~19:30,08:50~15:30,-,-
116,이담약국,02-6085-2300,"서울특별시 강남구 선릉로 326, 1층 107호 (대치동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~17:00,-,-
117,제이약국,02-433-1520,"서울특별시 중랑구 동일로92길 57, 메디포레 1층 (면목동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:30,-,-
118,압구정프라자온누리약국,02-511-3801,"서울특별시 강남구 논현로 857, A857 1층 일부호 (신사동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~20:00,-,-
119,다온약국,02-972-1214,"서울특별시 중랑구 공릉로 8, 102, 103호 (묵동, 대길빌딩)",09:00~20:00,09:00~19:30,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
120,애플약국,02-446-1357,"서울특별시 광진구 아차산로 506, 은석 1층 일부호 (광장동)",08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~15:00,-,-
121,정원약국,02-738-9219,"서울특별시 종로구 통일로 262, 1층 (무악동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,14:00~18:00,-
122,조이약국,02-2269-5948,"서울특별시 중구 퇴계로 220, 1층 (충무로4가)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~13:00,-,-
123,기쁨온누리약국,02-2696-6950,"서울특별시 양천구 중앙로 265, 1층 (신정동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~17:00,-,-
124,슬기약국,02-6396-9543,"서울특별시 성북구 화랑로 245, 1층 (장위동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~18:00,-,-
125,구로2호선약국,070-7672-0012,"서울특별시 구로구 도림천로 477, 구로디지털단지역 지상1층 001호 (구로동)",07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,07:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00
126,목동메디약국,02-2062-0091,"서울특별시 강서구 곰달래로 272, 1층 103호 (화곡동)",09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,12:00~21:00,-
127,기린약국,050-71316-7241,서울특별시 서초구 잠원로 24 반포자이프라자상가 1층,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,09:00~25:00,22:00~25:00,-
128,가까운현대약국,02-6405-5452,서울특별시 강북구 한천로132길 28 (번동),09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~21:00,09:00~15:00,-,-
129,민정약국,02-980-1244,서울특별시 강북구 오패산로30길 41 (미아동),08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,08:40~19:30,09:00~16:00,-,-
130,뉴타운메디컬약국,02-357-0777,"서울특별시 은평구 진관3로 70, 821동 상가 115호 (진관동, 은평뉴타운상림마을)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~14:00,-,-
131,은혜약국,02-533-9939,서울특별시 서초구 신반포로 41 (반포동),09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:30,-,-
132,종로태평양약국,02-979-0426,서울특별시 중랑구 동일로 917 (묵동),08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,08:00~21:30,09:00~19:00,-
133,홍일태평양약국,02-2692-0422,"서울특별시 양천구 목동로 229, 1층 (신정동)",08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,08:30~20:30,-,-
134,강동성실약국,02-478-7001,"서울특별시 강동구 진황도로 81, 강동투웨니퍼스트 1층 101호 (길동)",09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~23:00,09:00~22:00,14:00~22:00,14:00~22:00
